,도서관명,시도명,시군구명,열람좌석수,자료수,위도,경도,도서관유형,건물면적,좌표
0,중랑구립면목정보도서관,서울특별시,중랑구,227,112846,37.5873561521,127.08755655959999,공공도서관,1234.0,"37.5873561521, 127.08755655959999"
1,중랑숲어린이도서관,서울특별시,중랑구,303,50731,37.602634,127.103926,공공도서관,977.8,"37.602634, 127.103926"
2,중화어린이도서관,서울특별시,중랑구,30,23799,37.595003999999996,127.0748924744,공공도서관,133.0,"37.595003999999996, 127.0748924744"
3,양원숲속도서관,서울특별시,중랑구,252,29716,37.606825,127.110697,공공도서관,970.78,"37.606825, 127.110697"
4,중랑상봉도서관,서울특별시,중랑구,268,26780,37.5931272353,127.080932,공공도서관,1753.41,"37.5931272353, 127.080932"
5,송파글마루도서관,서울특별시,송파구,414,69064,37.480832692199996,127.1304765731,공공도서관,3697.0,"37.480832692199996, 127.1304765731"
6,송파어린이도서관,서울특별시,송파구,60,85296,37.5121012604,127.0824284892,공공도서관,1273.0,"37.5121012604, 127.0824284892"
7,거마도서관,서울특별시,송파구,244,44147,37.493545000000005,127.1468273964,공공도서관,886.0,"37.493545000000005, 127.1468273964"
8,소나무언덕1호,서울특별시,송파구,38,18480,37.5274169166,127.1180408616,공공도서관,177.0,"37.5274169166, 127.1180408616"
9,소나무언덕2호,서울특별시,송파구,72,22286,37.507266666199996,127.09421729809999,공공도서관,329.0,"37.507266666199996, 127.09421729809999"
10,소나무언덕3호,서울특별시,송파구,84,24750,37.492325,127.15661899999999,공공도서관,343.0,"37.492325, 127.15661899999999"
11,소나무언덕4호,서울특별시,송파구,45,17330,37.502207,127.116836,공공도서관,246.0,"37.502207, 127.116836"
12,소나무언덕 잠실본동,서울특별시,송파구,63,23052,37.5031008494,127.07887195709999,공공도서관,510.0,"37.5031008494, 127.07887195709999"
13,송파어린이영어,서울특별시,송파구,60,19293,37.5223926038,127.10298301430001,공공도서관,595.0,"37.5223926038, 127.10298301430001"
14,돌마리도서관,서울특별시,송파구,55,16380,37.5035646147,127.1036854792,공공도서관,265.0,"37.5035646147, 127.1036854792"
15,송파위례도서관,서울특별시,송파구,140,15645,37.4811666537,127.1439359526,공공도서관,914.0,"37.4811666537, 127.1439359526"
16,은평구립도서관,서울특별시,은평구,958,259379,37.61897412,126.92826740000001,공공도서관,5060.0,"37.61897412, 126.92826740000001"
17,증산정보도서관,서울특별시,은평구,511,71917,37.5828079079,126.9076711057,공공도서관,2110.0,"37.5828079079, 126.9076711057"
18,응암정보도서관,서울특별시,은평구,250,72038,37.5859665629,126.9196820594,공공도서관,999.0,"37.5859665629, 126.9196820594"
19,상림마을작은도서관,서울특별시,은평구,60,37261,37.6442159908,126.9289423548,공공도서관,311.7,"37.6442159908, 126.9289423548"
20,은평뉴타운 도서관,서울특별시,은평구,420,54409,37.6372303968,126.9331183475,공공도서관,1997.0,"37.6372303968, 126.9331183475"
21,중랑구립정보도서관,서울특별시,중랑구,594,231096,37.6151557,127.0869050507,공공도서관,5106.0,"37.6151557, 127.0869050507"
22,사당솔밭도서관,서울특별시,동작구,280,62011,37.484056,126.96736899999999,공공도서관,1724.86,"37.484056, 126.96736899999999"
23,동작상도국주도서관,서울특별시,동작구,100,47410,37.5068219493,126.9509960718,공공도서관,525.0,"37.5068219493, 126.9509960718"
24,동작어린이도서관,서울특별시,동작구,130,50692,37.509204429,126.94343400000001,공공도서관,444.3,"37.509204429, 126.94343400000001"
25,대방어린이도서관,서울특별시,동작구,50,25363,37.5030242235,126.9252221319,공공도서관,391.3,"37.5030242235, 126.9252221319"
26,약수도서관,서울특별시,동작구,47,34821,37.497851000000004,126.9474396,공공도서관,598.0,"37.497851000000004, 126.9474396"
27,동작샘터도서관,서울특별시,동작구,50,24667,37.488360899999996,126.977553,작은도서관,241.0,"37.488360899999996, 126.977553"
28,다울작은도서관,서울특별시,동작구,8,5368,37.4788487,126.9732460032,작은도서관,183.0,"37.4788487, 126.9732460032"
29,국사봉숲속작은도서관,서울특별시,동작구,10,2826,37.4954320648,126.9405908581,작은도서관,36.0,"37.4954320648, 126.9405908581"
30,중앙동 새싹작은도서관,서울특별시,관악구,40,10502,37.484165999999995,126.949749,작은도서관,704.0,"37.484165999999995, 126.949749"
31,청림동 푸른숲작은도서관,서울특별시,관악구,20,14778,37.491797,126.95859899999999,작은도서관,786.0,"37.491797, 126.95859899999999"
32,행운동 마루작은도서관,서울특별시,관악구,20,11487,37.480593,126.95705900000002,작은도서관,1447.0,"37.480593, 126.95705900000002"
33,청룡동 숯고을작은도서관,서울특별시,관악구,20,19086,37.479107,126.941694,작은도서관,1441.0,"37.479107, 126.941694"
34,낙성동 우듬지작은도서관,서울특별시,관악구,20,13124,37.476264,126.95836499999999,작은도서관,2004.0,"37.476264, 126.95836499999999"
35,미성동 책의향기작은도서관,서울특별시,관악구,20,14968,37.476132,126.915527,작은도서관,721.0,"37.476132, 126.915527"
36,삼성동 샛별작은도서관,서울특별시,관악구,10,14220,37.470073,126.93296399999998,작은도서관,617.0,"37.470073, 126.93296399999998"
37,책쉼터,서울특별시,관악구,20,3723,37.472972999999996,126.96021499999999,작은도서관,6985.0,"37.472972999999996, 126.96021499999999"
38,신림청소년독서실,서울특별시,관악구,74,8736,37.480177000000005,126.91618500000001,작은도서관,1364.0,"37.480177000000005, 126.91618500000001"
39,관악산 詩도서관,서울특별시,관악구,14,5781,37.468115999999995,126.946069,작은도서관,2552.0,"37.468115999999995, 126.946069"
40,낙성대공원도서관,서울특별시,관악구,28,6091,37.471383,126.959727,작은도서관,132.0,"37.471383, 126.959727"
41,하난곡작은도서관,서울특별시,관악구,38,13105,37.4767912,126.919945,작은도서관,358.0,"37.4767912, 126.919945"
42,용꿈꾸는 작은도서관,서울특별시,관악구,57,19853,37.478127,126.95148700000001,작은도서관,32572.0,"37.478127, 126.95148700000001"
