Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
,행정구역,N1인가구변화,도소매업,서비스업,사업체수,인구변화,주민등록인구,지역구
0,역삼1동,"11,588","3,374","7,328","15,733","32,466","35,865",강남구
1,화양동,"11,276",421,739,"2,354","24,186","21,441",광진구
2,신림동,"10,468",312,494,"1,613","20,279","21,363",관악구
3,청룡동,"10,308",383,631,"1,733","27,211","28,789",관악구
4,대학동,"9,687",169,566,"1,522","23,335","23,824",관악구
5,가양1동,"9,062","1,255","1,738","5,012","31,304","33,189",강서구
6,행운동,"8,734",305,543,"1,314","28,681","29,876",관악구
7,화곡1동,"8,620",570,848,"2,606","50,623","53,525",강서구
8,연희동,"8,184",554,722,"2,074","35,984","37,352",서대문구
9,신촌동,"7,887",747,"1,163","3,692","23,508","18,522",서대문구
10,영등포동,"7,884","2,578","1,305","6,092","23,147","25,350",영등포구
11,상도1동,"7,759",305,574,"1,512","44,937","46,169",동작구
12,서교동,"7,365","2,165","3,815","9,880","23,352","24,559",마포구
13,가산동,"7,330","4,345","5,426","15,111","19,280","20,684",금천구
14,서림동,"7,148",148,243,716,"22,828","24,239",관악구
15,문정2동,"7,035","2,007","1,807","5,455","27,855","30,003",송파구
16,이문1동,"7,024",249,406,"1,246","25,613","23,287",동대문구
17,독산1동,"6,762","1,026",909,"3,747","35,328","39,284",금천구
18,공릉1동,"6,678",603,824,"2,371","37,964","38,939",노원구
19,용신동,"6,672","2,141",919,"5,210","28,215","30,452",동대문구
20,논현1동,"6,619","1,309","2,328","5,269","21,101","23,460",강남구
21,당산2동,"6,527",477,886,"2,222","33,659","35,740",영등포구
22,서원동,"6,435",302,361,"1,178","21,794","23,077",관악구
23,구로3동,"6,233","1,640","3,413","7,346","24,066","24,954",구로구
24,신사동,"6,172",326,421,"1,271","21,817","23,108",관악구
25,인헌동,"6,037",219,339,926,"25,831","26,899",관악구
26,낙성대동,"5,969",166,345,"1,184","20,214","16,958",관악구
27,석촌동,"5,824",600,851,"2,444","31,715","33,992",송파구
28,군자동,"5,682",353,472,"1,443","20,857","19,935",광진구
29,성산2동,"5,665",483,535,"1,492","39,035","41,478",마포구
30,길동,"5,567",872,"1,067","3,393","44,896","46,821",강동구
31,면목본동,"5,566",536,544,"2,179","33,760","35,747",중랑구
32,삼전동,"5,546",396,782,"1,851","30,629","33,014",송파구
33,천호2동,"5,536","1,310",894,"3,411","33,680","35,638",강동구
34,안암동,"5,532",289,413,"1,316","17,378","15,179",성북구
35,사당1동,"5,514",331,589,"1,693","22,266","23,359",동작구
36,공덕동,"5,513",546,932,"2,605","36,793","39,740",마포구
37,잠실본동,"5,383",622,"1,124","2,943","26,912","29,123",송파구
38,대방동,"5,371",328,666,"1,506","37,967","39,915",동작구
39,전농1동,"5,262",741,477,"1,996","28,963","30,459",동대문구
40,대조동,"5,144",795,664,"2,313","30,111","32,186",은평구
41,동선동,"5,007",399,711,"1,945","15,334","15,539",성북구
42,중화2동,"5,001",496,503,"1,851","26,148","28,044",중랑구
43,구로5동,"4,996","1,425",967,"3,508","28,744","30,330",구로구
44,종암동,"4,991",358,561,"1,724","39,385","40,931",성북구
45,수유3동,"4,919",534,753,"2,378","22,616","23,863",강북구
46,노량진1동,"4,912",406,584,"1,864","31,078","32,444",동작구
47,삼선동,"4,887",430,628,"1,776","25,367","26,409",성북구
48,제기동,"4,886","2,794",573,"4,525","23,332","25,099",동대문구
49,등촌1동,"4,871",471,565,"1,665","22,021","23,352",강서구
50,반포1동,"4,842",357,707,"1,628","27,813","31,761",서초구
51,구의1동,"4,838",371,608,"1,703","21,252","22,517",광진구
52,신정4동,"4,831",701,"1,180","2,836","33,499","35,363",양천구
53,장안1동,"4,807","1,436",908,"4,102","36,245","38,588",동대문구
54,은천동,"4,753",306,501,"1,345","33,483","35,080",관악구
55,역촌동,"4,719",465,772,"2,050","46,370","49,208",은평구
56,화곡본동,"4,717",265,416,"1,096","33,998","35,944",강서구
57,방이2동,"4,702",649,929,"2,794","23,500","25,333",송파구
58,중앙동,"4,685",175,337,885,"14,482","15,284",관악구
59,청파동,"4,681",341,430,"1,655","19,486","20,105",용산구
60,혜화동,"4,675",305,587,"1,668","18,650","17,083",종로구
61,조원동,"4,666",402,475,"1,644","16,503","17,606",관악구
62,신원동,"4,618",205,247,749,"17,540","18,780",관악구
63,등촌3동,"4,517",824,803,"2,341","31,375","33,085",강서구
64,석관동,"4,460",435,493,"1,761","31,703","33,153",성북구
65,사근동,"4,413",157,271,"1,008","13,734","11,624",성동구
66,보라매동,"4,392",452,336,"1,208","24,146","25,230",관악구
67,양재1동,"4,370",821,"1,425","3,415","43,136","46,332",서초구
68,성내2동,"4,360",418,575,"1,713","23,485","24,982",강동구
69,흑석동,"4,316",289,455,"1,414","30,135","30,617",동작구
70,송천동,"4,281",401,549,"1,845","27,109","29,023",강북구
71,공릉2동,"4,269",258,582,"1,427","40,334","41,026",노원구
72,암사1동,"4,256",388,469,"1,484","35,427","37,433",강동구
73,시흥1동,"4,255",728,850,"2,716","32,613","34,527",금천구
74,천호3동,"4,252",510,510,"1,654","26,340","27,990",강동구
75,휘경2동,"4,250",141,209,607,"23,767","24,561",동대문구
76,논현2동,"4,246","1,157","2,344","5,349","20,122","22,007",강남구
77,서강동,"4,192",339,607,"1,698","24,902","24,786",마포구
78,망우본동,"4,188",590,653,"2,303","29,643","31,433",중랑구
79,세곡동,"4,186",244,341,910,"42,650","45,241",강남구
80,불광1동,"4,170",297,521,"1,373","38,351","41,260",은평구
81,신길1동,"4,160",287,355,"1,037","16,642","17,515",영등포구
82,송파1동,"4,155",497,759,"2,012","24,192","25,941",송파구
83,자양1동,"4,124",426,537,"1,517","21,770","23,295",광진구
84,한남동,"4,094",526,622,"2,083","17,502","20,514",용산구
85,미아동,"4,077",319,466,"1,487","21,694","22,707",강북구
86,상봉2동,"4,073",411,558,"1,931","17,594","18,921",중랑구
87,구로2동,"4,070","4,765",884,"7,466","24,364","26,083",구로구
